language,language_name,prompt_id,variant_type,seed,image_path,mean_luma,contrast_luma,edge_density,entropy,colorfulness,phash_bits
en,English,S09_base,base,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S09_base_seed2026051801_00001_.png,161.7552947998047,38.73470918516031,0.0168304443359375,7.0871434043362544,78.65214883688523,1011011110100011010110000101110000111111101100110100000001001100
en,English,S09_base,base,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S09_base_seed2026051802_00001_.png,179.76220703125,55.50475699641046,0.1031036376953125,7.312812613325412,73.06412233896899,1011111011000011010000010011110010011101100100010100100100110111
en,English,S09_synonym,synonym,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S09_synonym_seed2026051801_00001_.png,174.49900817871094,36.11378002451237,0.036346435546875,6.142462951550028,37.81709843319033,1011110011000011110100000011110010011111000100101110100000011110
en,English,S09_synonym,synonym,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S09_synonym_seed2026051802_00001_.png,190.76187133789062,45.84280401007236,0.1106719970703125,6.107665439676136,49.749956554857036,1011111011000111110000000110100010011101001101101100100110110000
en,English,S09_word_order,word_order,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S09_word_order_seed2026051801_00001_.png,149.719970703125,44.25342178517281,0.0160980224609375,7.053913234892069,54.59017979775216,1100011011000110010110010111110100100111101000100001100001101101
en,English,S09_word_order,word_order,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S09_word_order_seed2026051802_00001_.png,159.49864196777344,53.78350351958577,0.059356689453125,7.478952992653999,78.8112020347424,1011011111100011010000010011100011011100110000110100100110110010
en,English,S09_attribute_swap,attribute_swap,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S09_attribute_swap_seed2026051801_00001_.png,166.1094207763672,34.34713322335701,0.024200439453125,6.999663858155135,75.92795893170197,1011101110111011010000000100111000111111101100111100000001000100
en,English,S09_attribute_swap,attribute_swap,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S09_attribute_swap_seed2026051802_00001_.png,182.4840850830078,25.27267779261167,0.0450439453125,6.087815648094463,43.36941869312183,1010110011000111000100100100011010110110101100110100110100110011
en,English,S09_negation_rephrase,negation_rephrase,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S09_negation_rephrase_seed2026051801_00001_.png,175.15475463867188,45.59563422442966,0.043487548828125,6.6116323014772105,32.84600250119824,1011011011000110110010010011100010011111110000010110000010011110
en,English,S09_negation_rephrase,negation_rephrase,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S09_negation_rephrase_seed2026051802_00001_.png,165.2595672607422,52.405242200713765,0.10040283203125,6.982980531151138,16.96843080644517,1011001011000111110100000100110110011101011010101000010100111010
en,English,S10_base,base,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S10_base_seed2026051801_00001_.png,65.48593139648438,55.677778056516615,0.0982208251953125,6.909967063419106,122.66651859891925,1101111101111011111110110111111110001011000000001000000000000000
en,English,S10_base,base,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S10_base_seed2026051802_00001_.png,64.94216918945312,47.935603944959894,0.0654449462890625,6.532739483980244,58.890636326014175,1011001101001011110100010100000111000011110100111100101111000001
en,English,S10_synonym,synonym,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S10_synonym_seed2026051801_00001_.png,113.38145446777344,49.28045193386926,0.113189697265625,6.858402634357097,128.67174322105495,1111111001010111111010100100010110000000001110001010010101011010
en,English,S10_synonym,synonym,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S10_synonym_seed2026051802_00001_.png,96.75563049316406,49.737051718969994,0.1545562744140625,7.041934088193484,86.92774458248199,1011001001001011110100110100001111000011110000101100100111010011
en,English,S10_word_order,word_order,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S10_word_order_seed2026051801_00001_.png,73.72166442871094,57.11790023268029,0.1269378662109375,7.280941518121461,101.17587773564208,1111011100100111110100010110110110000011110100000111100000001010
en,English,S10_word_order,word_order,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S10_word_order_seed2026051802_00001_.png,70.56332397460938,42.17933608896981,0.062164306640625,6.819656189675765,73.63154159076178,1010101001101011110100010100010110011001101000101100110110110001
en,English,S10_attribute_swap,attribute_swap,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S10_attribute_swap_seed2026051801_00001_.png,63.531005859375,55.5982493332289,0.123626708984375,7.088502508865939,100.3501304540971,1111111101111011111110110111110110000000010000001000000001001000
en,English,S10_attribute_swap,attribute_swap,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S10_attribute_swap_seed2026051802_00001_.png,62.70643615722656,47.47193852782454,0.0608062744140625,6.660873616823401,37.74361825995644,1001001001001011110110011101001111000001110010111100000111000011
