prompt_id,variant_type,seed,language,language_name,phash_distance_to_en,ssim_to_en,structural_drift_to_en,hist_l1_to_en
S05_synonym,synonym,2026051802,en,English,0.0,1.0,0.0,0.0
S05_synonym,synonym,2026051802,zh,Chinese,0.4375,0.27343273617294833,0.7265672638270517,1.665252685546875
S05_synonym,synonym,2026051802,hi,Hindi,0.46875,0.11323387253698064,0.8867661274630194,1.592559814453125
S05_synonym,synonym,2026051802,es,Spanish,0.25,0.6262262926032852,0.3737737073967148,1.365509033203125
S05_synonym,synonym,2026051802,fr,French,0.3125,0.22407961661103704,0.775920383388963,1.57684326171875
S05_word_order,word_order,2026051801,en,English,0.0,1.0,0.0,0.0
S05_word_order,word_order,2026051801,zh,Chinese,0.40625,0.0709502286512812,0.9290497713487188,0.81884765625
S05_word_order,word_order,2026051801,hi,Hindi,0.46875,-0.018082474477052295,1.0180824744770522,1.88116455078125
S05_word_order,word_order,2026051801,es,Spanish,0.375,0.4803133864546132,0.5196866135453868,1.72833251953125
S05_word_order,word_order,2026051801,fr,French,0.375,-0.006172255731107039,1.006172255731107,1.680145263671875
S05_word_order,word_order,2026051802,en,English,0.0,1.0,0.0,0.0
S05_word_order,word_order,2026051802,zh,Chinese,0.375,0.404925292059315,0.5950747079406851,1.6820068359375
S05_word_order,word_order,2026051802,hi,Hindi,0.3125,0.33797522329478014,0.6620247767052199,1.7528076171875
S05_word_order,word_order,2026051802,es,Spanish,0.1875,0.5343743611026137,0.4656256388973863,1.433349609375
S05_word_order,word_order,2026051802,fr,French,0.3125,0.29308414075384376,0.7069158592461562,1.751708984375
S06_attribute_swap,attribute_swap,2026051801,en,English,0.0,1.0,0.0,0.0
S06_attribute_swap,attribute_swap,2026051801,zh,Chinese,0.40625,0.05970497779046661,0.9402950222095334,1.762542724609375
S06_attribute_swap,attribute_swap,2026051801,hi,Hindi,0.5,0.05414641817216791,0.9458535818278321,1.98345947265625
S06_attribute_swap,attribute_swap,2026051801,es,Spanish,0.4375,0.2626533723999229,0.7373466276000771,1.936248779296875
